layer,sentence,train_mse,test_mse,train_r2,test_r2,n_samples,n_train,n_test
0,0,5.247458894657025e-09,0.06473738089932338,0.9999998957907403,-2.630382319622593,24,19,5
0,1,4.493813765676616e-08,0.07188107751846312,0.999998710193702,-3.3787206090681723,24,19,5
0,2,2.162518391842907e-08,0.01645355862375797,0.9999997409584227,-1.2789229138791338,24,19,5
0,3,9.28326656943893e-09,0.00785240354537964,0.9999999095876796,0.331368907920671,24,19,5
0,4,5.974967355476741e-08,0.18653933770931247,0.9999994688608839,-0.6168608184555331,24,19,5
0,5,6.628476553481239e-09,0.020282949574107877,0.9999999479039501,0.8275744598915766,24,19,5
0,6,6.739643293228496e-09,0.10890486671571878,0.9999999457138333,-3.9690369900238043,23,18,5
0,7,1.1739613097389486e-08,0.06448201375537449,0.9999999033897652,0.239623801895417,23,18,5
0,8,1.4689287631147485e-08,0.03797451773662956,0.9999998961671487,0.6393400632383084,23,18,5
0,9,1.1786292580998412e-08,0.18416214525222777,0.9999998690593168,-8.106118732803985,22,17,5
0,10,1.6474746830084095e-07,0.04908660348892212,0.9999985039282154,-0.7006168060186433,22,17,5
0,11,6.821576286763522e-09,0.2644763606262207,0.9999999040794663,-1.0610688951544636,22,17,5
0,12,3.478106330423355e-09,0.3248204119873047,0.99999995586237,-1.0436154368035582,22,17,5
0,13,3.6784580775663133e-09,0.330002497959137,0.9999999622635362,-5.962078016015549,18,14,4
0,14,1.3796488444010618e-08,0.30705237903594973,0.9999998393058159,-1.6043458781675128,16,12,4
0,15,5.13536160692068e-09,0.1942374085744222,0.99999996080299,-5.370760485312682,14,11,3
0,16,1.2003176910382576e-08,0.03874612773259481,0.9999998910182966,0.5533873596396601,13,10,3
0,17,2.9351976182706037e-09,0.08041660728454589,0.9999999782581931,0.35333321518860517,12,9,3
0,18,1.2208761271435493e-08,0.11824088045756022,0.9999999007266897,-0.08059293675674462,12,9,3
0,19,1.6736984252931226e-08,0.15060615615844727,0.9999998077175644,0.34632744722896147,10,8,2
1,0,5.247458894657025e-09,0.05137659827603234,0.9999998957907403,-1.8811282049504388,24,19,5
1,1,2.96391938862e-09,0.08127518629074096,0.9999999149301219,-3.9509738237537126,24,19,5
1,2,2.162518391842907e-08,0.007029470145669592,0.9999997409584227,0.026373506563842075,24,19,5
1,3,9.28326656943893e-09,0.005750850105285645,0.9999999095876796,0.5103158970294921,24,19,5
1,4,6.254168059950935e-08,0.15744548614299778,0.9999994440415992,-0.3646850080704884,24,19,5
1,5,6.628476553481239e-09,0.01876149047147726,0.9999999479039501,0.8405083976586383,24,19,5
1,6,6.739643293228496e-09,0.09789187385683208,0.9999999457138333,-3.4665436622506256,23,18,5
1,7,1.1739613097389486e-08,0.06406901698642307,0.9999999033897652,0.2444938872838185,23,18,5
1,8,8.53960205908552e-09,0.043400070854109164,0.99999993963688,0.5878113076180649,23,18,5
1,9,1.1786292580998412e-08,0.20179122125625612,0.9999998690593168,-8.977809595344944,22,17,5
1,10,1.6474746830084095e-07,0.0592259519958496,0.9999985039282154,-1.051896895643348,22,17,5
1,11,6.821576286763522e-09,0.2564692004394531,0.9999999040794663,-0.9986689560431199,22,17,5
1,12,3.478106330423355e-09,0.3210800650787354,0.99999995586237,-1.020082954240081,22,17,5
1,13,3.6784580775663133e-09,0.353075532245636,0.9999999622635362,-6.448850891258143,18,14,4
1,14,1.3796488444010618e-08,0.2551254824638367,0.9999998393058159,-1.163914185443908,16,12,4
1,15,5.13536160692068e-09,0.20557783358891804,0.99999996080299,-5.742713200802705,14,11,3
1,16,1.2003176910382576e-08,0.040315456040700276,0.9999998910182966,0.5352982782193871,13,10,3
