layer,sentence,train_acc,test_acc,n_samples,n_train,n_test
5,19,1.0,0.5,14,10,4
5,20,1.0,0.75,14,10,4
5,21,1.0,0.6666666666666666,13,10,3
5,22,1.0,0.3333333333333333,12,9,3
5,23,1.0,0.3333333333333333,10,7,3
5,24,1.0,0.0,10,7,3
5,25,1.0,0.3333333333333333,10,7,3
6,0,1.0,0.2,30,25,5
6,1,1.0,0.2,30,25,5
6,2,1.0,0.2,30,25,5
6,3,1.0,0.0,30,25,5
6,4,1.0,0.0,30,25,5
6,5,1.0,0.4,30,25,5
6,6,1.0,0.25,29,25,4
6,7,1.0,0.75,29,25,4
6,8,1.0,0.0,29,25,4
6,9,1.0,0.75,28,24,4
6,10,1.0,0.25,28,24,4
6,11,1.0,0.0,28,24,4
6,12,1.0,0.0,28,24,4
6,13,1.0,0.25,26,22,4
6,14,1.0,0.0,25,21,4
6,15,1.0,0.0,19,15,4
6,16,1.0,0.5,18,14,4
6,17,1.0,0.25,17,13,4
6,18,1.0,0.25,16,12,4
6,19,1.0,0.5,14,10,4
6,20,1.0,0.75,14,10,4
6,21,1.0,0.6666666666666666,13,10,3
6,22,1.0,0.3333333333333333,12,9,3
6,23,1.0,0.3333333333333333,10,7,3
6,24,1.0,0.0,10,7,3
6,25,1.0,0.3333333333333333,10,7,3
7,0,1.0,0.2,30,25,5
7,1,1.0,0.2,30,25,5
7,2,1.0,0.2,30,25,5
7,3,1.0,0.0,30,25,5
7,4,1.0,0.0,30,25,5
7,5,1.0,0.6,30,25,5
7,6,1.0,0.25,29,25,4
7,7,1.0,0.75,29,25,4
7,8,1.0,0.0,29,25,4
7,9,1.0,0.75,28,24,4
7,10,1.0,0.25,28,24,4
7,11,1.0,0.0,28,24,4
7,12,1.0,0.0,28,24,4
7,13,1.0,0.25,26,22,4
7,14,1.0,0.0,25,21,4
7,15,1.0,0.0,19,15,4
7,16,1.0,0.25,18,14,4
7,17,1.0,0.25,17,13,4
7,18,1.0,0.25,16,12,4
7,19,1.0,0.25,14,10,4
7,20,1.0,0.75,14,10,4
7,21,1.0,0.6666666666666666,13,10,3
7,22,1.0,0.3333333333333333,12,9,3
7,23,1.0,0.0,10,7,3
7,24,1.0,0.0,10,7,3
7,25,1.0,0.3333333333333333,10,7,3
8,0,1.0,0.2,30,25,5
8,1,1.0,0.2,30,25,5
8,2,1.0,0.2,30,25,5
8,3,1.0,0.0,30,25,5
8,4,1.0,0.0,30,25,5
8,5,1.0,0.6,30,25,5
8,6,1.0,0.5,29,25,4
8,7,1.0,0.25,29,25,4
8,8,1.0,0.0,29,25,4
8,9,1.0,0.5,28,24,4
8,10,1.0,0.25,28,24,4
8,11,1.0,0.25,28,24,4
8,12,1.0,0.0,28,24,4
8,13,1.0,0.25,26,22,4
8,14,1.0,0.0,25,21,4
8,15,1.0,0.0,19,15,4
8,16,1.0,0.25,18,14,4
8,17,1.0,0.0,17,13,4
8,18,1.0,0.25,16,12,4
8,19,1.0,0.5,14,10,4
8,20,1.0,0.25,14,10,4
8,21,1.0,0.6666666666666666,13,10,3
8,22,1.0,0.3333333333333333,12,9,3
8,23,1.0,0.0,10,7,3
8,24,1.0,0.0,10,7,3
8,25,1.0,0.3333333333333333,10,7,3
9,0,1.0,0.2,30,25,5
9,1,1.0,0.2,30,25,5
9,2,1.0,0.2,30,25,5
9,3,1.0,0.0,30,25,5
9,4,1.0,0.0,30,25,5
9,5,1.0,0.4,30,25,5
9,6,1.0,0.25,29,25,4
