layer,sentence,train_acc,test_acc,n_samples,n_train,n_test
5,9,1.0,0.5454545454545454,53,42,11
5,10,1.0,0.45454545454545453,53,42,11
5,11,1.0,0.5454545454545454,53,42,11
5,12,1.0,0.45454545454545453,52,41,11
5,13,1.0,0.8,49,39,10
5,14,1.0,0.3333333333333333,43,34,9
5,15,1.0,0.3333333333333333,35,29,6
5,16,1.0,0.4,31,26,5
5,17,1.0,0.6,29,24,5
5,18,1.0,0.5,27,23,4
5,19,1.0,0.5,25,21,4
5,20,1.0,0.5,24,20,4
5,21,1.0,0.5,23,19,4
5,22,1.0,0.5,22,18,4
5,23,1.0,0.3333333333333333,20,17,3
6,0,1.0,0.5454545454545454,55,44,11
6,1,1.0,0.5454545454545454,55,44,11
6,2,1.0,0.6363636363636364,55,44,11
6,3,1.0,0.36363636363636365,55,44,11
6,4,1.0,0.6363636363636364,55,44,11
6,5,1.0,0.5454545454545454,55,44,11
6,6,1.0,0.5454545454545454,54,43,11
6,7,1.0,0.2727272727272727,54,43,11
6,8,1.0,0.45454545454545453,54,43,11
6,9,1.0,0.45454545454545453,53,42,11
6,10,1.0,0.45454545454545453,53,42,11
6,11,1.0,0.6363636363636364,53,42,11
6,12,1.0,0.45454545454545453,52,41,11
6,13,1.0,0.6,49,39,10
6,14,1.0,0.3333333333333333,43,34,9
6,15,1.0,0.3333333333333333,35,29,6
6,16,1.0,0.4,31,26,5
6,17,1.0,0.6,29,24,5
6,18,1.0,0.5,27,23,4
6,19,1.0,0.5,25,21,4
6,20,1.0,0.5,24,20,4
6,21,1.0,0.5,23,19,4
6,22,1.0,0.5,22,18,4
6,23,1.0,0.3333333333333333,20,17,3
7,0,1.0,0.5454545454545454,55,44,11
7,1,1.0,0.5454545454545454,55,44,11
7,2,1.0,0.6363636363636364,55,44,11
7,3,1.0,0.36363636363636365,55,44,11
7,4,1.0,0.6363636363636364,55,44,11
7,5,1.0,0.45454545454545453,55,44,11
7,6,1.0,0.45454545454545453,54,43,11
7,7,1.0,0.2727272727272727,54,43,11
