layer,sentence,train_acc,test_acc,n_samples,n_train,n_test
6,3,1.0,0.5,30,24,6
6,4,1.0,0.3333333333333333,30,24,6
6,5,1.0,0.5,30,24,6
6,6,1.0,0.6666666666666666,29,23,6
6,7,1.0,0.6666666666666666,29,23,6
6,8,1.0,0.6666666666666666,29,23,6
6,9,1.0,0.6,28,23,5
6,10,1.0,0.4,28,23,5
6,11,1.0,0.6,28,23,5
6,12,1.0,0.6,28,23,5
6,13,1.0,0.4,26,21,5
6,14,1.0,0.8,25,20,5
6,15,1.0,1.0,19,16,3
6,16,1.0,0.6666666666666666,18,15,3
6,17,1.0,1.0,17,14,3
6,18,1.0,1.0,16,13,3
6,19,1.0,1.0,14,12,2
6,20,1.0,1.0,14,12,2
6,21,1.0,1.0,13,11,2
6,22,1.0,1.0,12,10,2
7,0,1.0,0.5,30,24,6
7,1,1.0,0.6666666666666666,30,24,6
7,2,1.0,0.5,30,24,6
7,3,1.0,0.5,30,24,6
7,4,1.0,0.3333333333333333,30,24,6
7,5,1.0,0.5,30,24,6
7,6,1.0,0.6666666666666666,29,23,6
7,7,1.0,0.6666666666666666,29,23,6
7,8,1.0,0.5,29,23,6
7,9,1.0,0.4,28,23,5
7,10,1.0,0.4,28,23,5
7,11,1.0,0.4,28,23,5
7,12,1.0,0.6,28,23,5
7,13,1.0,0.4,26,21,5
7,14,1.0,0.6,25,20,5
7,15,1.0,0.6666666666666666,19,16,3
7,16,1.0,0.6666666666666666,18,15,3
7,17,1.0,1.0,17,14,3
7,18,1.0,1.0,16,13,3
7,19,1.0,1.0,14,12,2
7,20,1.0,1.0,14,12,2
7,21,1.0,1.0,13,11,2
7,22,1.0,1.0,12,10,2
8,0,1.0,0.5,30,24,6
8,1,1.0,0.6666666666666666,30,24,6
8,2,1.0,0.5,30,24,6
8,3,1.0,0.5,30,24,6
8,4,1.0,0.3333333333333333,30,24,6
8,5,1.0,0.5,30,24,6
8,6,1.0,0.6666666666666666,29,23,6
8,7,1.0,0.6666666666666666,29,23,6
8,8,1.0,0.5,29,23,6
8,9,1.0,0.4,28,23,5
8,10,1.0,0.4,28,23,5
8,11,1.0,0.4,28,23,5
8,12,1.0,0.6,28,23,5
8,13,1.0,0.4,26,21,5
8,14,1.0,0.6,25,20,5
8,15,1.0,0.6666666666666666,19,16,3
8,16,1.0,0.6666666666666666,18,15,3
8,17,1.0,0.6666666666666666,17,14,3
8,18,1.0,1.0,16,13,3
8,19,1.0,1.0,14,12,2
8,20,1.0,1.0,14,12,2
8,21,1.0,1.0,13,11,2
8,22,1.0,1.0,12,10,2
9,0,1.0,0.3333333333333333,30,24,6
9,1,1.0,0.6666666666666666,30,24,6
9,2,1.0,0.5,30,24,6
9,3,1.0,0.5,30,24,6
9,4,1.0,0.5,30,24,6
9,5,1.0,0.5,30,24,6
9,6,1.0,0.6666666666666666,29,23,6
9,7,1.0,0.6666666666666666,29,23,6
9,8,1.0,0.5,29,23,6
9,9,1.0,0.4,28,23,5
9,10,1.0,0.4,28,23,5
9,11,1.0,0.6,28,23,5
9,12,1.0,0.6,28,23,5
9,13,1.0,0.4,26,21,5
9,14,1.0,0.6,25,20,5
9,15,1.0,0.6666666666666666,19,16,3
9,16,1.0,0.6666666666666666,18,15,3
9,17,1.0,1.0,17,14,3
9,18,1.0,1.0,16,13,3
9,19,1.0,1.0,14,12,2
9,20,1.0,1.0,14,12,2
9,21,1.0,1.0,13,11,2
9,22,1.0,1.0,12,10,2
10,0,1.0,0.3333333333333333,30,24,6
10,1,1.0,0.6666666666666666,30,24,6
10,2,1.0,0.5,30,24,6
10,3,1.0,0.5,30,24,6
10,4,1.0,0.3333333333333333,30,24,6
10,5,1.0,0.5,30,24,6
10,6,1.0,0.6666666666666666,29,23,6
10,7,1.0,0.6666666666666666,29,23,6
10,8,1.0,0.5,29,23,6
10,9,1.0,0.6,28,23,5
10,10,1.0,0.4,28,23,5
10,11,1.0,0.4,28,23,5
10,12,1.0,0.6,28,23,5
10,13,1.0,0.4,26,21,5
10,14,1.0,0.6,25,20,5
10,15,1.0,0.6666666666666666,19,16,3
10,16,1.0,0.6666666666666666,18,15,3
10,17,1.0,0.6666666666666666,17,14,3
10,18,1.0,1.0,16,13,3
10,19,1.0,1.0,14,12,2
10,20,1.0,1.0,14,12,2
10,21,1.0,1.0,13,11,2
10,22,1.0,1.0,12,10,2
11,0,1.0,0.3333333333333333,30,24,6
11,1,1.0,0.6666666666666666,30,24,6
